instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
pisinger_smac_t3_k100_n10_r10000_s1012,42,0.0469032275621,16,10.4905529772506,327741615,503418,503566,0.0002939038775453466,4.267448500031605
pisinger_smac_t3_k100_n10_r10000_s1005,41,0.8489875825382,61,57.5568846829652,327741615,489588,506474,0.03334030967038782,0.19145200005732477
pisinger_smac_t3_k10_n100_r10000_s1004,42,0.2899512383813,34,10.6417220631947,327741615,54767,55701,0.01676810111129064,0.021699124947190285
pisinger_smac_t4_k10_n100_r10000_s1003,11,0.6283408904601,33,68.0030182278026,327741615,49116,50043,0.018524069300401656,0.017461042036302388
pisinger_smac_t2_k100_n100_r10000_s1001,41,0.3316707164276,63,11.6021335051202,327741615,494660,500738,0.012138084187738898,1.0725267919478938
pisinger_smac_t6_k10_n10_r10000_s1012,8,0.9121303114389,46,22.2795431961776,327741615,85865,87194,0.015241874440901897,0.02363087492994964
pisinger_smac_t4_k100_n10_r10000_s1006,8,0.9121303114389,46,22.2795431961776,327741615,509617,513741,0.008027391234104344,0.2485247500007972
pisinger_smac_t6_k100_n10_r10000_s1002,8,0.9121303114389,46,22.2795431961776,327741615,822384,832489,0.012138298524064582,0.11209312500432134
pisinger_smac_t5_k100_n100_r10000_s1010,8,0.9121303114389,46,22.2795431961776,327741615,537634,574882,0.06479242696762118,1.0538184170145541
pisinger_smac_t3_k10_n100_r10000_s1004,23,0.9845432029953,19,11.7714173982033,327741615,54876,55701,0.014811224215005117,0.02156287501566112
pisinger_smac_t1_k10_n100_r10000_s1009,45,0.6675889845548,44,39.0872111172072,327741615,98050,98399,0.0035467840120326426,0.021745209000073373
pisinger_smac_t3_k10_n100_r10000_s1010,23,0.9840991235949,20,11.4979434285129,327741615,55781,56301,0.009236070407275181,0.02032766700722277
pisinger_smac_t3_k100_n100_r10000_s1003,23,0.9824147743501,19,11.6379616737893,327741615,69859,573809,0.8782539137587595,5.043044208898209
pisinger_smac_t3_k10_n10_r10000_s1003,33,0.9821631291925,15,17.2081567005694,327741615,51558,52044,0.009338252248097763,0.02474479202646762
pisinger_smac_t1_k100_n10_r10000_s1006,13,0.6774812108525,14,10.9725172811693,327741615,882097,889720,0.008567864047115946,0.03537841700017452
pisinger_smac_t5_k10_n100_r10000_s1003,45,0.8091537001745,17,42.0413946537346,327741615,53578,56769,0.056210255597244976,0.022657374967820942
pisinger_smac_t4_k10_n10_r10000_s1006,49,0.3488502611337,27,64.6986875500437,327741615,43733,50947,0.141598131391446,0.03180170909035951
pisinger_smac_t1_k10_n10_r10000_s1008,9,0.6692096163927,15,11.676129454518,327741615,71461,83967,0.1489394643133612,0.02232574997469783
pisinger_smac_t1_k10_n100_r10000_s1007,43,0.7068148020671,30,8.4027422770536,327741615,97659,98558,0.009121532498630248,0.023433124995790422
pisinger_smac_t6_k100_n10_r10000_s1002,9,0.6645683731457,15,13.0126863279516,327741615,818098,832489,0.01728671489953621,0.04316283389925957
pisinger_smac_t2_k10_n10_r10000_s1006,10,0.6370319071853,14,14.1362081955619,327741615,28404,48694,0.4166837803425473,0.0201030409662053
pisinger_smac_t2_k100_n100_r10000_s1007,19,0.1360832315673,20,17.8441721771887,327741615,378835,502114,0.24551994168654928,5.015383249963634
pisinger_smac_t4_k10_n100_r10000_s1010,10,0.6616486137249,14,14.2026341404849,327741615,48723,50032,0.02616325551646946,0.018519041943363845
pisinger_smac_t4_k100_n100_r10000_s1002,41,0.4191934625303,7,25.9999424708095,327741615,500385,500396,2.19825897888872e-05,0.8687276660930365
pisinger_smac_t4_k100_n10_r10000_s1005,27,0.9996531581523,21,10.8706212720758,327741615,505719,505757,7.513489679826477e-05,0.7356559589970857
pisinger_smac_t4_k100_n10_r10000_s1012,25,0.9987326619003,21,5.7424245954101,327741615,500095,500116,4.1990258260083664e-05,0.7319594579748809
pisinger_smac_t6_k10_n100_r10000_s1010,27,0.999718046899,21,4.3182953912396,327741615,98211,98282,0.0007224110213467369,0.033584540942683816
pisinger_smac_t4_k10_n100_r10000_s1003,40,0.679157970158,30,69.5634943198293,327741615,49116,50043,0.018524069300401656,0.020159541978500783
pisinger_smac_t4_k10_n100_r10000_s1002,27,0.9996654963781,20,7.081136394285,327741615,48805,49783,0.01964526043026736,0.019569500000216067
pisinger_smac_t6_k10_n10_r10000_s1003,28,0.9915245162676,21,7.5950245463213,327741615,87714,87714,0.0,0.02850004204083234
pisinger_smac_t1_k10_n100_r10000_s1011,28,0.9915245162676,21,7.5950245463213,327741615,97985,98601,0.006247401141976248,0.021859999978914857
pisinger_smac_t1_k10_n10_r10000_s1003,28,0.9915245162676,21,7.5950245463213,327741615,91094,91094,0.0,0.020060416078194976
pisinger_smac_t1_k100_n100_r10000_s1004,28,0.9915245162676,21,7.5950245463213,327741615,985518,985749,0.00023433957325850698,0.47581350000109524
pisinger_smac_t5_k100_n100_r10000_s1012,28,0.9915245162676,21,7.5950245463213,327741615,586723,588235,0.0025704012852006426,0.6365324589423835
