instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,40,0.0816139204189,32,46.5943495351077,327741615,8433,12030,0.299002493765586,0.5684846000076504
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed3.json.gz,18,0.886078165952,32,7.446234322954,327741615,10045,11613,0.1350210970464135,0.28279343200847507
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed1.json.gz,16,0.8823109032133,38,4.5045666017836,327741615,55796,59439,0.061289725601036356,2.2882874789938796
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed2.json.gz,47,0.8426073907345,14,42.1377950957637,327741615,103268,104144,0.008411430327239207,0.8576508440019097
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed3.json.gz,16,0.9658745157812,37,7.6274256209227,327741615,100355,101759,0.01379730539804833,0.520245129999239
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed2.json.gz,17,0.1415160219388,18,17.600831999154,327741615,85834,87325,0.017074148296593185,1.6451749569969252
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed2.json.gz,15,0.2527293017666,53,9.292598384384,327741615,100932,104144,0.030841911199877094,2.623845431007794
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,21,0.3229786223828,12,20.5250650095808,327741615,57966,58907,0.015974332422292768,1.3382439820125
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed2.json.gz,17,0.4394591304668,11,5.4706489954082,327741615,57071,58078,0.01733875133441234,0.8762961809989065
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed2.json.gz,20,0.2513651913546,14,18.4850735090667,327741615,103218,104144,0.008891534797972039,1.4231316930090543
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed3.json.gz,36,0.6919838382588,24,29.2324562952593,327741615,9008,11613,0.22431757513131834,1.1608161680051126
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed3.json.gz,20,0.7615501155177,26,27.8226536103107,327741615,26496,29004,0.08647083160943318,1.0418524679989787
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed2.json.gz,46,0.1110630674856,26,17.1664403319186,327741615,101843,104144,0.022094407743124905,2.1305694570037303
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed4.json.gz,13,0.7249630977307,51,83.8572204300476,327741615,23427,30011,0.2193862250508147,1.4633204389974708
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,34,0.66715376443,16,99.1186137432337,327741615,57417,58907,0.025294107661228717,1.8115571770031238
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed3.json.gz,45,0.9765038277589,31,94.3804901427612,327741615,100355,101759,0.01379730539804833,0.6471682690025773
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed3.json.gz,14,0.3654006143901,16,16.6690477976832,327741615,84135,85391,0.014708810061950323,3.600966796002467
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed3.json.gz,14,0.0634394110799,15,13.7817739999245,327741615,100773,101759,0.009689560628543913,3.242170993995387
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,38,0.6584535263082,61,35.0979852245663,327741615,7479,12030,0.37830423940149627,0.5455259349982953
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,13,0.1808841223267,15,11.8404384487596,327741615,57617,58907,0.021898925424822177,2.0430250159988645
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,21,0.3477972475279,25,60.9133425164844,327741615,9511,12030,0.20939318370739818,0.6974128319998272
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed4.json.gz,10,0.2207182883086,51,60.9923609060016,327741615,22586,30011,0.24740928326280365,1.7278854259930085
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed1.json.gz,7,0.8013984919366,17,37.5614388540456,327741615,57758,59439,0.028281094904019248,2.364568529999815
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.100_seed1.json.gz,15,0.1296228223282,14,21.8748255426928,327741615,10520,11794,0.10802102764117348,0.5562616969982628
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,21,0.371618462143,31,48.2087301362662,327741615,8595,12030,0.2855361596009975,1.0076728260028176
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed3.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,28730,29004,0.00944697283133361,4.075315699999919
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.100_seed1.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,11511,11794,0.023995251822960827,0.6101752459944692
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed2.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,103977,104144,0.001603548932247657,14.268632089995663
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed3.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,56068,56340,0.004827831025914093,13.19312930101296
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed3.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,20299,85391,0.7622817392933682,30.108022675995016
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,58675,58907,0.003938411394231585,4.3787255700008245
