N,M,correlation,f,class_ordering,n_instances,mean_gap_pct,median_gap_pct,max_gap_pct,win_count,timeout_count
100000,5,strongly,0.75,sequential,35,0.0001153977436954516,0.0,0.000878985669042886,25,0
100000,5,strongly,0.75,random,35,0.0003134382631498935,0.00023349990782012647,0.0018296784699715484,11,0
100000,5,strongly,0.75,adversarial,35,4.284469093472186,4.288789806167386,4.435727940993769,0,0
100000,10,inversely_strongly,0.1,sequential,35,89.96733801430622,95.17183643130221,98.60717249906551,1,34
100000,10,inversely_strongly,0.1,random,35,87.43274912392582,97.93293896491663,98.50007282957105,1,34
100000,10,inversely_strongly,0.1,adversarial,35,0.0026703929291421657,0.0,0.0934637525199758,34,35
100000,10,strongly,0.5,sequential,35,5.301721428498545,3.4040186998783377,24.246117603188285,8,25
100000,10,strongly,0.5,random,35,3.6695405638843135,0.0011161346367806726,21.657940504738328,16,17
100000,10,strongly,0.5,adversarial,35,0.6411522385310706,0.9121118631991246,0.9933002234210819,11,0
100000,20,inversely_strongly,0.5,sequential,35,93.16940701543858,94.52723972528801,98.26953103602229,0,35
100000,20,inversely_strongly,0.5,random,35,93.42220475412168,96.47315994419421,98.33221887641129,0,35
100000,20,inversely_strongly,0.5,adversarial,35,0.0,0.0,0.0,35,35
100000,20,strongly,0.5,sequential,35,8.236733273232241,0.036376118652044195,41.13604654460957,17,35
100000,20,strongly,0.5,random,35,8.657439262829303,5.476270113091168,31.7998258728754,13,35
100000,20,strongly,0.5,adversarial,35,18.30834653413164,17.706020227432276,39.11017524838931,5,34
100000,20,uncorrelated,0.5,sequential,35,8.697856015975881e-05,0.0,0.0006574793871020408,18,0
100000,20,uncorrelated,0.5,random,35,7.827914310086226e-05,5.4055029382097715e-06,0.0004954660368146627,17,0
100000,20,uncorrelated,0.5,adversarial,35,0.0015108946822700634,0.001482188456986572,0.002082424030710313,0,0
