instance_id,N,M,correlation,f,class_ordering,status,profit,wall_time_s,gap_pct_vs_best
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed2.json.gz,100000,10,inversely_strongly,0.1,sequential,timeout,700694,63.66192179202335,87.91552904894037
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed2.json.gz,100000,10,inversely_strongly,0.1,random,timeout,1240585,62.74307383398991,78.60433599428522
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed2.json.gz,100000,10,inversely_strongly,0.1,adversarial,timeout,5798301,68.93647033302113,0.0
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed20.json.gz,100000,10,inversely_strongly,0.1,sequential,timeout,1386814,63.40778412501095,76.31921134958813
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed20.json.gz,100000,10,inversely_strongly,0.1,random,timeout,1131703,62.82924387505045,80.67540451853164
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed20.json.gz,100000,10,inversely_strongly,0.1,adversarial,timeout,5856283,68.40812279097736,0.0
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed22.json.gz,100000,10,inversely_strongly,0.1,sequential,timeout,226334,63.51154924998991,96.060767500627
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed22.json.gz,100000,10,inversely_strongly,0.1,random,timeout,90996,63.393454291974194,98.41625915455501
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed22.json.gz,100000,10,inversely_strongly,0.1,adversarial,timeout,5745637,69.24940737505676,0.0
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed23.json.gz,100000,10,inversely_strongly,0.1,sequential,timeout,209233,63.27712749998318,96.43296862837225
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed23.json.gz,100000,10,inversely_strongly,0.1,random,timeout,217329,63.367394584056456,96.2949469683822
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed23.json.gz,100000,10,inversely_strongly,0.1,adversarial,timeout,5865746,464.3762237079791,0.0
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed24.json.gz,100000,10,inversely_strongly,0.1,sequential,timeout,81827,63.38955329201417,98.60667444946043
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed24.json.gz,100000,10,inversely_strongly,0.1,random,timeout,96923,63.96026929200161,98.34962430084266
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed24.json.gz,100000,10,inversely_strongly,0.1,adversarial,timeout,5872784,71.410643042007,0.0
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed26.json.gz,100000,10,inversely_strongly,0.1,sequential,timeout,238131,63.697077582997736,95.88293426104228
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed26.json.gz,100000,10,inversely_strongly,0.1,random,timeout,312105,63.347903624991886,94.60399191009402
